"Age Group",Population,"% of Total Population"
"Under 5 years","69,027",7.6%
"5 to 9 years","69,098",7.61%
"10 to 14 years","69,591",7.66%
"15 to 19 years","65,642",7.23%
"20 to 24 years","63,512",6.99%
"25 to 29 years","72,881",8.02%
"30 to 34 years","74,882",8.24%
"35 to 39 years","67,553",7.44%
"40 to 44 years","61,989",6.82%
"45 to 49 years","57,517",6.33%
"50 to 54 years","52,822",5.81%
"55 to 59 years","51,712",5.69%
"60 to 64 years","42,486",4.68%
"65 to 69 years","32,476",3.57%
"70 to 74 years","23,751",2.61%
"75 to 79 years","14,714",1.62%
"80 to 84 years","9,169",1.01%
"85 years and over","9,647",1.06%
Resource id #6
